Livsmedelsnamn;Livsmedelsnummer;Energi (kcal);Energi (kJ);Kolhydrater (g);Fett (g);Protein (g);Fibrer (g);Vatten (g);Alkohol (g);Aska (g);Monosackarider (g);Disackarider (g);Sackaros (g);Fullkorn totalt (g);Sockerarter (g);Summa mättade fettsyror (g);Fettsyra 4:0-10:0 (g);Laurinsyra C12:0 (g);Myristinsyra C14:0 (g);Palmitinsyra C16:0 (g);Stearinsyra C18:0 (g);Arakidinsyra C20:0 (g);Summa enkelomättade fettsyror (g);Palmitoljesyra C16:1 (g);Oljesyra C18:1 (g);Summa fleromättade fettsyror (g);Linolsyra C18:2 (g);Linolensyra C18:3 (g);Arakidonsyra C20:4 (g);EPA (C20:5) (g);DPA (C22:5) (g);DHA (C22:6) (g);Kolesterol (mg);Retinol (µg);Vitamin A (RE);β-Karoten (µg);Vitamin D (µg);Vitamin E (mg);Vitamin K (µg);Tiamin (mg);Riboflavin (mg);Vitamin C (mg);Niacin (mg);Niacinekvivalenter (NE);Vitamin B6 (mg);Vitamin B12 (µg);Folat (µg);Fosfor (mg);Jod (µg);Järn (mg);Kalcium (mg);Kalium (mg);Koppar (mg);Magnesium (mg);Natrium (mg);Salt (g);Selen (µg);Zink (mg);Stärkelse (g);Avfall (skal etc.) (%)
Nöt talg;1;656;2746;0;71;7;0;21,7;0;0,3;0;0;0;0;0;35,8;0;0,07;3,17;20,2;10,8;0,47;28,8;2,56;25,3;2,76;2,43;0,27;0;0;0;0;109;19;22;36;0,1;0,6;;0;0;0;0;1,28;0;0;1;7;;0,3;0;6;;3;10,5;0,03;1;0,1;;0
Gris späck;2;763;3193;0;85;2,8;0;11,1;0;0,7;0;0;0;0;0;32,8;0;0,08;1,05;20,7;10,6;0,24;38,5;2,34;35,2;9,03;7,82;0,73;0;0;0;0;57;4;4;0;0,6;0,7;;0,05;0,07;0;0,5;1,01;0,02;0,6;1;26;;0,2;4;65;;1;11;0,03;5;0,4;;0
Gris ister;3;884;3700;0;100;0;0;0;0;0;0;0;0;0;0;48,8;0;0,1;1,53;26,7;20;0,19;37,5;2,01;34,1;9,37;7,93;0,67;0;0;0,19;0,29;95;9;9;0;0;1,2;;0;0;0;0;0;0;0;0;3;;0,1;1;1;;1;2;0,01;7;0,1;;0
Kokosfett;4;884;3700;0;100;0;0;0;0;0;0;0;0;0;0;92;13;46,3;18,7;9,6;3;0;6;0;7,2;2;1,8;0;0;0;0;0;0;0;0;0;0;11;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0
Matfettsblandning havssaltat fett 80% berikad typ Bregott;5;712;2977;0,5;80;0,5;0;17,47;0;1,53;0;0,4;0;0;0,4;39,21;6,4;2,01;5,98;17,25;6,54;0,27;26,47;0,86;24,53;8,48;6,07;2,41;0;0;0;0;180;900;919,2;230;20;6,81;;0,01;0,02;0;0,1;0,22;0,01;0,1;3;26;2,4;0,2;18;20;;3;800;2;0;0,1;;0
Matfettsblandning fett 60% berikad typ Bregott mellan;6;534;2235;0,5;60;0,4;0;38,1;0;1;0;0,5;0;0;0,5;26,57;3,79;1,24;3,96;12,13;3,91;0,19;22,44;0,65;20,86;7,92;5,37;2,44;0,04;0;0;0;124,8;745;761,6;199;20;6,54;30,7;0;0;0;0;0,1;0;0;0;0;2,7;0;0;0;0;0;400;1;0;0;0;0
Flytande margarin fett 82% berikad typ Milda culinesse;10;721;3017;0;82;0;0;16,7;0;1,32;0;0;0;0;0;7,29;0;0;0,08;3,61;2,12;0,55;42,49;0,16;41;28,66;19,75;8,83;0;0;0;0;0;645;693,1;577;10,5;23,7;70,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;1,5;0;0;0;0
Hushållsmargarin fett 80% berikad typ Melba;12;710;2968;0,4;80;0,1;0;18;0;1,5;0;0,4;0;0;0,4;36;0,3;2;1,1;23,4;2,6;0;34;0;33,8;10;10,3;4,3;0;0;0;0;0;;900;;20;5;;0;0;0;0;0,02;0;0;0;0;0,5;0;0;0;;0;600;1,5;0;0;;0
Hushållsmargarin fett 80% berikad typ Milda;13;712;2977;0,5;80;0,5;0;17,5;0;1,5;0;0,3;0;0;0,3;32;0,3;2;1,1;23,4;2,6;0;30;0;33,8;18;10,3;4,3;0;0;0;0;0;;800;;20;12;;0;0;0;0;0,08;0;0;0;0;0,5;0;0;0;;0;600;1,5;0;0;;0
Lättmargarin fett 38% berikad typ Becel;17;348;1457;3;38;0;0;57,75;0;1,25;0;0;0;0;0;8;0,2;0,9;0,3;4,9;1,2;0;11;0;11,9;19;14,2;3,7;0;0;0;0;0;;800;;20;12;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;500;1,25;0;0;;0
